,,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
origin_state,destination,,,,,,,,,,,,,,,,
AL,"Boston, MA (Metropolitan Area)",9.0,350.3333333333333,207.04045498404415,148.0,176.0,286.0,483.0,735.0,9.0,364.5766128502406,60.282817000933846,313.8386243386243,324.59999999999997,341.03521408563427,365.0251696621671,475.624518338804
AL,"Chicago, IL",30.0,1372.0333333333333,332.1906892478904,379.0,1266.75,1397.0,1596.75,1795.0,30.0,261.957603836132,23.57517612944826,216.46993440733323,245.00284862939077,258.2264593693195,279.75463879668905,316.7095502932363
AL,"Dallas/Fort Worth, TX",30.0,1377.4,396.54034886233467,668.0,1024.75,1460.5,1672.75,2124.0,30.0,300.88678593716776,59.82717787978467,206.97234036269126,258.46043347640824,308.8738194838055,325.4235207647704,467.0085454091817
AL,"Denver, CO",8.0,749.625,273.0326707295563,294.0,599.75,770.5,1000.0,1035.0,8.0,284.0574689968022,26.55831883808345,231.17329716696804,282.7864145437628,293.65879196635944,297.976143773912,306.6390655626225
AL,"Detroit, MI",12.0,565.5,172.18884981322105,177.0,510.75,562.0,700.75,792.0,12.0,328.26971630329587,23.453273061511375,288.0161506116208,309.6240032205716,331.3875738593458,345.6693076777966,361.82532218739124
AL,"Houston, TX",30.0,1216.1666666666667,239.65853342553473,552.0,1167.75,1257.0,1292.0,1791.0,30.0,270.0917178833481,34.477362088673885,224.0047808486879,243.1421591420203,256.7982917869423,300.7545886428269,335.2762820434904
AL,"Las Vegas, NV",24.0,574.0416666666666,293.1326275235163,159.0,316.0,653.0,808.5,946.0,24.0,328.94211082756425,39.25457303535247,259.5832941821314,300.08232883278447,334.8817894456551,355.197270471464,410.7416194523135
AL,"Los Angeles, CA (Metropolitan Area)",30.0,856.5666666666667,211.3555075570841,251.0,763.25,873.0,992.0,1236.0,30.0,393.9935155981888,46.22382004931568,311.8445775621391,360.76344529362774,388.80119412559606,435.58501348620723,480.4791582491583
AL,"Miami, FL (Metropolitan Area)",29.0,547.6551724137931,220.2524972879453,165.0,383.0,545.0,766.0,822.0,29.0,293.3593454529751,34.15784642068543,226.24401161960094,273.6941391577399,296.8482303066154,315.37179487179486,348.94964626166666
AL,"New Orleans, LA",14.0,787.1428571428571,334.4719965610222,152.0,625.75,815.0,1036.5,1272.0,14.0,161.86054967146615,20.850505620734808,145.27694434842724,147.11389084453205,153.03354195382445,171.22191963665819,219.1857142857143
AL,"New York City, NY (Metropolitan Area)",30.0,1270.0666666666666,299.19292972161344,344.0,1152.25,1345.5,1466.75,1676.0,30.0,382.16477723808094,64.83604910097671,301.79498591380445,342.2086065531096,368.857943006071,390.1785172279333,565.7618434093162
AL,"Orlando, FL",30.0,1334.8,298.1423404557189,779.0,1094.75,1353.0,1524.5,1966.0,30.0,216.78165691295982,21.44757727759507,169.2086756780634,198.5459640426013,218.95160763801127,232.41546668682633,259.9786666666667
AL,"Philadelphia, PA",4.0,282.75,198.75843797601817,167.0,176.75,192.0,298.0,580.0,4.0,286.83885439273377,22.19029443094244,268.47931034482764,271.8471003134796,280.6431818181818,295.6349358974359,317.5897435897436
