Year,total_passengers,avg_price,log_passengers,log_price
1996,2394025.0,356.8911398890138,14.688486607819131,5.877430804996073
1997,2638456.0,361.66158713305305,14.785704455547064,5.8907089324144195
1998,2725798.0,369.4854554570407,14.818271787245733,5.912111376845027
1999,2911177.0,364.79685403329813,14.884068024726757,5.89934063435076
2000,3116361.0,361.3391630714257,14.952176532920795,5.889817027162841
2001,2904901.0,328.18265967463304,14.881909868513603,5.793570342630799
2002,2785947.0,310.23460774021555,14.840098409451057,5.737328810413094
2003,2873003.0,305.817004091533,14.870868382165545,5.722986897218938
2004,3149403.0,289.625595475255,14.962723469030385,5.668589038772024
2005,3370083.0,284.9396439786626,15.030447931105373,5.652277382327585
2006,3489752.0,296.6156821474039,15.065341231481797,5.69243730135871
2007,3527734.0,290.98431716428087,15.076166296440938,5.673269372812967
2008,3383206.0,292.9237213778504,15.03433433860775,5.679912238529246
2009,3214102.0,262.6330772451576,14.983058560930338,5.570757914504332
2010,3228280.0,282.43563093058106,14.987460045626301,5.643450669510588
2011,3269238.0,300.73346758287863,15.000067488195368,5.706224382713353
2012,3260008.0,307.5095949782566,14.997240207327609,5.728506289941086
2013,3314834.0,310.9058601330383,15.013918104933504,5.7394901658193245
2014,3409220.0,315.10079658111886,15.04199408409201,5.752892576786434
2015,3602149.0,308.5477524827169,15.097041169770321,5.731876620613879
2016,3758172.0,299.6705643950228,15.139443226934256,5.7026837525988645
2017,3908876.0,290.54924300326684,15.178760422604004,5.6717730731254195
2018,4072011.0,282.306638476416,15.219647538584093,5.642993850662784
2019,4168328.0,281.6053000436116,15.243025554136723,5.640506445284369
2020,1500259.0,239.84096152818,14.221148317833933,5.479976043386362
2021,2809440.0,233.76723815626258,14.848495733193158,5.454325911572734
2022,3878637.0,263.7385117252592,15.170994361223347,5.574958126401848
2023,4124895.0,255.7091832938823,15.23255112288149,5.5440407959810685
2024,4288373.0,249.57945983170708,15.27141796488993,5.519777340768155
2025,2056338.0,248.91017214606305,14.536437288932666,5.517092076943691
