Year,origin_state,city2,total_passengers,avg_price,route_id,price_lag1,ln_pax,ln_price_lag1
1998,AL,"Boston, MA (Metropolitan Area)",472.0,458.7502542372881,"AL -> Boston, MA (Metropolitan Area)",475.624518338804,6.156978985585555,6.164628715924355
1999,AL,"Boston, MA (Metropolitan Area)",735.0,341.03521408563427,"AL -> Boston, MA (Metropolitan Area)",458.7502542372881,6.5998704992128365,6.12850595356435
2000,AL,"Boston, MA (Metropolitan Area)",506.0,365.0251696621671,"AL -> Boston, MA (Metropolitan Area)",341.03521408563427,6.226536669287466,5.831985739065132
2001,AL,"Boston, MA (Metropolitan Area)",483.0,313.8386243386243,"AL -> Boston, MA (Metropolitan Area)",365.0251696621671,6.180016653652572,5.899966309183539
2002,AL,"Boston, MA (Metropolitan Area)",148.0,324.59999999999997,"AL -> Boston, MA (Metropolitan Area)",313.8386243386243,4.997212273764115,5.748878918570967
2003,AL,"Boston, MA (Metropolitan Area)",161.0,348.96428571428567,"AL -> Boston, MA (Metropolitan Area)",324.59999999999997,5.081404364984463,5.782593655080491
2005,AL,"Boston, MA (Metropolitan Area)",186.0,322.9166666666667,"AL -> Boston, MA (Metropolitan Area)",348.96428571428567,5.225746673713202,5.854969583769139
2011,AL,"Boston, MA (Metropolitan Area)",176.0,330.4347826086957,"AL -> Boston, MA (Metropolitan Area)",322.9166666666667,5.170483995038151,5.777394291999447
1997,AL,"Chicago, IL",1733.0,248.4934818705324,"AL -> Chicago, IL",238.96377531705474,7.457609289715606,5.476311972732896
1998,AL,"Chicago, IL",1754.0,257.7098289623717,"AL -> Chicago, IL",248.4934818705324,7.469654172932128,5.51541661529542
1999,AL,"Chicago, IL",1768.0,260.41871839233426,"AL -> Chicago, IL",257.7098289623717,7.477604243197589,5.551834258034465
2000,AL,"Chicago, IL",1795.0,255.000704262364,"AL -> Chicago, IL",260.41871839233426,7.492760300922379,5.562290790978029
2001,AL,"Chicago, IL",1521.0,244.31353641610048,"AL -> Chicago, IL",255.000704262364,7.327123292259293,5.541266306967804
2002,AL,"Chicago, IL",1284.0,258.7430897762673,"AL -> Chicago, IL",244.31353641610048,7.157735484249907,5.498452385718033
2003,AL,"Chicago, IL",1177.0,251.37248149047207,"AL -> Chicago, IL",258.7430897762673,7.0707241072602764,5.555835638044285
2004,AL,"Chicago, IL",1118.0,247.07078526926162,"AL -> Chicago, IL",251.37248149047207,7.0192966537150445,5.526935829108651
